comparison,metric,n,mean_diff,sd_diff,t_stat,p_norm_approx,cohen_dz
ours - coa_gpt_style,selected_gpi,10000,0.237929,0.034093,697.890471,0.000000,6.978905
ours - rag_coa_style,selected_gpi,10000,0.142820,0.032574,438.453660,0.000000,4.384537
ours - autogen_style,selected_gpi,10000,0.130853,0.032794,399.020810,0.000000,3.990208
ours - masmp_style,selected_gpi,10000,0.114084,0.033179,343.843885,0.000000,3.438439
ours - coa_gpt_style,selected_synthetic_utility,10000,0.002152,0.033818,6.362138,0.000000,0.063621
ours - rag_coa_style,selected_synthetic_utility,10000,0.001946,0.032841,5.924340,0.000000,0.059243
ours - autogen_style,selected_synthetic_utility,10000,0.001401,0.032626,4.295542,0.000017,0.042955
ours - masmp_style,selected_synthetic_utility,10000,0.001920,0.033619,5.711621,0.000000,0.057116
ours - coa_gpt_style,selected_traceability,10000,0.341502,0.128064,266.664157,0.000000,2.666642
ours - coa_gpt_style,selected_controllability,10000,0.618406,0.028485,2171.006204,0.000000,21.710062
ours - coa_gpt_style,selected_oracle_regret,10000,-0.002152,0.033818,-6.362138,0.000000,-0.063621
