batch,seed,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_oracle_regret_mean,selected_oracle_regret_sd,selected_oracle_regret_ci95,selected_oracle_regret_median,selected_oracle_regret_q05,selected_oracle_regret_q95,oracle_best_hit_mean,oracle_best_hit_sd,oracle_best_hit_ci95,oracle_best_hit_median,oracle_best_hit_q05,oracle_best_hit_q95,oracle_top2_hit_mean,oracle_top2_hit_sd,oracle_top2_hit_ci95,oracle_top2_hit_median,oracle_top2_hit_q05,oracle_top2_hit_q95
1,20263710,direct_llm,Direct-generation proxy,500,0.385358,0.036529,0.003202,0.384742,0.326921,0.447756,0.623636,0.066137,0.005797,0.627728,0.511721,0.726906,0.012357,0.025987,0.002278,0.000000,0.000000,0.070514,0.696000,0.460443,0.040360,1,0,1,0.914000,0.280645,0.024600,1,0,1
1,20263710,evidence_only,Evidence only,500,0.488352,0.039038,0.003422,0.487642,0.427304,0.557193,0.625480,0.066582,0.005836,0.630782,0.505533,0.726906,0.010513,0.025317,0.002219,0.000000,0.000000,0.064420,0.722000,0.448462,0.039309,1,0,1,0.922000,0.268440,0.023530,1,0,1
1,20263710,evidence_role,Evidence + role,500,0.550699,0.036613,0.003209,0.550443,0.490831,0.612943,0.625158,0.066465,0.005826,0.628216,0.509511,0.729481,0.010834,0.027149,0.002380,0.000000,0.000000,0.065990,0.738000,0.440163,0.038582,1,0,1,0.932000,0.251998,0.022089,1,0,1
1,20263710,evidence_critique,Evidence + critique,500,0.533998,0.034927,0.003061,0.532222,0.478624,0.597536,0.623723,0.064984,0.005696,0.625900,0.509665,0.725959,0.012269,0.028631,0.002510,0.000000,0.000000,0.075397,0.712000,0.453285,0.039732,1,0,1,0.922000,0.268440,0.023530,1,0,1
1,20263710,full_framework,Full framework,500,0.641000,0.033160,0.002907,0.641166,0.587057,0.693165,0.627152,0.065133,0.005709,0.631509,0.512176,0.729669,0.008840,0.019620,0.001720,0.000000,0.000000,0.056561,0.730000,0.444404,0.038954,1,0,1,0.938000,0.241397,0.021159,1,0,1
2,20263747,direct_llm,Direct-generation proxy,500,0.385192,0.033586,0.002944,0.383059,0.333027,0.444047,0.624031,0.065264,0.005721,0.625556,0.514321,0.726086,0.014052,0.029787,0.002611,0.000000,0.000000,0.081109,0.674000,0.469217,0.041129,1,0,1,0.904000,0.294886,0.025848,1,0,1
2,20263747,evidence_only,Evidence only,500,0.487231,0.033317,0.002920,0.486522,0.432073,0.543810,0.623904,0.061351,0.005378,0.622288,0.527295,0.724009,0.014179,0.029934,0.002624,0.000000,0.000000,0.091078,0.688000,0.463774,0.040652,1,0,1,0.904000,0.294886,0.025848,1,0,1
2,20263747,evidence_role,Evidence + role,500,0.552195,0.037582,0.003294,0.550340,0.493897,0.618928,0.626909,0.064605,0.005663,0.630377,0.509858,0.729575,0.011174,0.025550,0.002240,0.000000,0.000000,0.074375,0.732000,0.443361,0.038862,1,0,1,0.898000,0.302951,0.026555,1,0,1
2,20263747,evidence_critique,Evidence + critique,500,0.536656,0.034372,0.003013,0.535470,0.482012,0.593239,0.628452,0.062699,0.005496,0.629426,0.529901,0.729575,0.009631,0.023447,0.002055,0.000000,0.000000,0.060604,0.738000,0.440163,0.038582,1,0,1,0.926000,0.262033,0.022968,1,0,1
2,20263747,full_framework,Full framework,500,0.641526,0.033946,0.002975,0.641319,0.586607,0.697456,0.627669,0.060865,0.005335,0.626987,0.527543,0.729575,0.010414,0.024193,0.002121,0.000000,0.000000,0.063092,0.716000,0.451388,0.039566,1,0,1,0.924000,0.265264,0.023251,1,0,1
3,20263784,direct_llm,Direct-generation proxy,500,0.382638,0.037830,0.003316,0.380473,0.325085,0.449644,0.627924,0.065417,0.005734,0.629045,0.517642,0.728788,0.010698,0.024142,0.002116,0.000000,0.000000,0.067101,0.742000,0.437972,0.038390,1,0,1,0.910000,0.286468,0.025110,1,0,1
3,20263784,evidence_only,Evidence only,500,0.486214,0.035385,0.003102,0.486038,0.428636,0.548737,0.626270,0.064166,0.005624,0.625473,0.518227,0.725700,0.012351,0.026717,0.002342,0.000000,0.000000,0.075749,0.712000,0.453285,0.039732,1,0,1,0.922000,0.268440,0.023530,1,0,1
3,20263784,evidence_role,Evidence + role,500,0.548894,0.036639,0.003212,0.549337,0.492606,0.608370,0.626391,0.066395,0.005820,0.629463,0.511396,0.726324,0.012231,0.026408,0.002315,0.000000,0.000000,0.069673,0.712000,0.453285,0.039732,1,0,1,0.918000,0.274639,0.024073,1,0,1
3,20263784,evidence_critique,Evidence + critique,500,0.535084,0.033447,0.002932,0.536515,0.481761,0.585991,0.629016,0.065298,0.005724,0.629463,0.518895,0.728788,0.009606,0.023471,0.002057,0.000000,0.000000,0.058613,0.758000,0.428723,0.037579,1,0,1,0.924000,0.265264,0.023251,1,0,1
3,20263784,full_framework,Full framework,500,0.640050,0.033173,0.002908,0.640809,0.585818,0.694349,0.627937,0.066627,0.005840,0.628602,0.511396,0.731822,0.010684,0.023986,0.002102,0.000000,0.000000,0.066041,0.730000,0.444404,0.038954,1,0,1,0.924000,0.265264,0.023251,1,0,1
