evidence,role,flow,critique,gate,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95
0,0,0,0,0,f00000,f00000,2000,0.404373,0.036952,0.001619,0.402098,0.344835,0.468810,0.241564,0.041111,0.001802,0.247115,0.171602,0.298096,0.332317,0.097898,0.004291,0.327500,0.187143,0.505714
1,0,0,0,0,f10000,f10000,2000,0.500633,0.034809,0.001526,0.499829,0.445293,0.559184,0.241512,0.041167,0.001804,0.247591,0.171720,0.299415,0.693911,0.087309,0.003826,0.693333,0.553750,0.840000
0,1,0,0,0,f01000,f01000,2000,0.447470,0.035886,0.001573,0.446817,0.391274,0.508669,0.452601,0.041204,0.001806,0.458159,0.381878,0.509377,0.332074,0.095385,0.004180,0.328667,0.183810,0.498824
1,1,0,0,0,f11000,f11000,2000,0.542153,0.035608,0.001561,0.543077,0.483692,0.599072,0.452208,0.040968,0.001796,0.458287,0.381728,0.507667,0.692200,0.091753,0.004021,0.691515,0.545833,0.841481
0,0,1,0,0,f00100,f00100,2000,0.421313,0.035017,0.001535,0.420951,0.366159,0.481521,0.329434,0.040988,0.001796,0.335531,0.259863,0.386361,0.328977,0.098039,0.004297,0.326154,0.174667,0.500000
1,0,1,0,0,f10100,f10100,2000,0.517345,0.035773,0.001568,0.517860,0.458427,0.576962,0.329514,0.041032,0.001798,0.334733,0.260459,0.386184,0.689922,0.088726,0.003889,0.690769,0.540000,0.833333
0,1,1,0,0,f01100,f01100,2000,0.464468,0.036235,0.001588,0.463037,0.408167,0.526299,0.540419,0.040939,0.001794,0.546316,0.471312,0.597646,0.332780,0.098416,0.004313,0.327500,0.184348,0.506316
1,1,1,0,0,f11100,f11100,2000,0.560496,0.035327,0.001548,0.560453,0.503942,0.619482,0.540686,0.041174,0.001805,0.546888,0.471855,0.597268,0.694194,0.087809,0.003848,0.695000,0.553043,0.837647
0,0,0,1,0,f00010,f00010,2000,0.429511,0.034153,0.001497,0.429179,0.375999,0.486652,0.241544,0.041243,0.001808,0.247783,0.171782,0.298193,0.326780,0.096382,0.004224,0.320667,0.181818,0.500000
1,0,0,1,0,f10010,f10010,2000,0.519625,0.033474,0.001467,0.518597,0.466730,0.575154,0.241503,0.041070,0.001800,0.247259,0.170775,0.297997,0.691550,0.090776,0.003978,0.689524,0.545833,0.846667
0,1,0,1,0,f01010,f01010,2000,0.472672,0.033506,0.001468,0.471683,0.418483,0.530018,0.452243,0.041134,0.001803,0.458263,0.382858,0.508791,0.331212,0.096152,0.004214,0.326897,0.187143,0.498947
1,1,0,1,0,f11010,f11010,2000,0.561855,0.033491,0.001468,0.561291,0.509573,0.619697,0.452607,0.041127,0.001802,0.459169,0.383027,0.508756,0.692047,0.089603,0.003927,0.690714,0.546154,0.844000
0,0,1,1,0,f00110,f00110,2000,0.446212,0.033072,0.001449,0.445930,0.392121,0.500771,0.329620,0.041238,0.001807,0.335460,0.259233,0.386804,0.322657,0.093891,0.004115,0.316000,0.173571,0.484706
1,0,1,1,0,f10110,f10110,2000,0.536688,0.033021,0.001447,0.536419,0.483575,0.591884,0.329461,0.041168,0.001804,0.334951,0.259208,0.386580,0.688310,0.091390,0.004005,0.686667,0.540000,0.840000
0,1,1,1,0,f01110,f01110,2000,0.490262,0.034604,0.001517,0.489918,0.435595,0.548684,0.540645,0.041196,0.001805,0.546619,0.471072,0.597870,0.331294,0.098559,0.004320,0.327500,0.180690,0.500000
1,1,1,1,0,f11110,f11110,2000,0.579251,0.032820,0.001438,0.579487,0.526336,0.634032,0.540225,0.040968,0.001796,0.545567,0.470292,0.597067,0.691988,0.089150,0.003907,0.692727,0.543636,0.837500
0,0,0,0,1,f00001,f00001,2000,0.464492,0.035654,0.001563,0.463505,0.407427,0.525141,0.541934,0.020675,0.000906,0.538073,0.512627,0.572269,0.328192,0.099082,0.004342,0.326897,0.172381,0.489231
